clientnum,attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio,income_category_min,income_category_max
717975333,Existing Customer,50,M,2,Doctorate,Married,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,80000,80000
720096558,Existing Customer,55,F,2,Graduate,Married,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,0,40000
820582308,Existing Customer,42,M,5,Uneducated,Married,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,80000,80000
789973308,Existing Customer,44,M,1,College,Single,Blue,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,60000,60000
712876233,Existing Customer,53,M,2,Graduate,Single,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,80000,80000
804595158,Existing Customer,44,F,4,Graduate,Single,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0,40000
714826758,Existing Customer,37,F,3,Uneducated,Single,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,0,40000
779058108,Existing Customer,49,M,3,Graduate,Divorced,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,60000,60000
710790258,Existing Customer,47,M,2,Graduate,Married,Blue,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,80000,80000
715623483,Existing Customer,47,M,3,Graduate,Married,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,60000,60000
711013983,Attrited Customer,55,F,4,Unknown,Married,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,40000,40000
794543958,Existing Customer,53,M,1,Graduate,Divorced,Blue,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,80000,80000
716396358,Existing Customer,52,M,2,Graduate,Married,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,60000,60000
711743883,Existing Customer,43,F,3,Uneducated,Single,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0,40000
719720058,Existing Customer,44,M,3,High School,Single,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,60000,60000
717539808,Existing Customer,51,F,2,High School,Single,Blue,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,0,40000
714070758,Existing Customer,49,M,4,High School,Single,Blue,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,80000,80000
714107958,Existing Customer,45,M,1,Graduate,Single,Blue,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,40000,40000
789140283,Existing Customer,53,M,0,Graduate,Single,Blue,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,80000,80000
719712633,Existing Customer,64,M,1,Graduate,Married,Blue,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,0,40000
772629333,Existing Customer,45,M,3,Graduate,Married,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,40000,40000
720336708,Existing Customer,53,M,3,Doctorate,Married,Blue,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,40000,40000
711887583,Attrited Customer,47,M,2,Unknown,Married,Blue,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,80000,80000
721091583,Existing Customer,44,F,2,Graduate,Single,Blue,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,0,40000
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Blue,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,0,40000
717929133,Existing Customer,44,M,1,Uneducated,Married,Blue,36,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169,60000,60000
808284783,Existing Customer,62,F,1,Unknown,Married,Blue,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,0,40000
710916408,Existing Customer,57,M,4,Graduate,Married,Blue,39,4,3,0,8466.0,1886,6580.0,0.56,1342,32,0.391,0.223,60000,60000
708492558,Existing Customer,42,M,3,Unknown,Married,Blue,36,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,60000,60000
799825758,Existing Customer,42,M,4,High School,Divorced,Blue,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513,60000,60000
718619883,Existing Customer,54,F,0,Uneducated,Married,Blue,36,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0,0.473,0,40000
711844758,Existing Customer,48,M,3,Graduate,Single,Blue,35,6,1,0,13551.0,1294,12257.0,0.791,1388,37,1.056,0.095,80000,80000
714798783,Existing Customer,49,M,1,Graduate,Single,Blue,36,6,2,2,18886.0,895,17991.0,1.826,1235,18,1.571,0.047,80000,80000
771894558,Existing Customer,50,M,3,High School,Single,Blue,39,4,1,4,9964.0,1559,8405.0,1.873,1626,25,0.786,0.156,80000,80000
721074183,Existing Customer,49,M,1,Doctorate,Married,Blue,36,4,6,3,24159.0,1196,22963.0,0.712,1111,24,1.0,0.05,60000,60000
715259583,Existing Customer,53,F,2,High School,Married,Blue,44,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355,0,40000
719666283,Existing Customer,55,F,1,Doctorate,Married,Blue,36,4,1,0,3174.0,1951,1223.0,0.766,1243,29,0.611,0.615,0,40000
714877233,Existing Customer,53,M,1,High School,Married,Blue,47,3,2,2,12262.0,1836,10426.0,1.584,1659,38,1.533,0.15,80000,80000
785387883,Existing Customer,47,F,3,High School,Single,Blue,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407,40000,40000
711318033,Existing Customer,47,M,3,Graduate,Single,Blue,36,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846,0.0,60000,60000
720201033,Attrited Customer,53,M,2,Graduate,Married,Blue,41,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,80000,80000
718039683,Existing Customer,52,M,2,High School,Single,Blue,45,3,1,2,13532.0,1300,12232.0,0.846,1521,29,1.417,0.096,40000,40000
714752208,Existing Customer,42,F,1,Graduate,Married,Blue,36,5,1,2,2393.0,1985,408.0,0.788,978,16,0.778,0.83,0,40000
822063408,Existing Customer,43,M,4,Unknown,Married,Blue,39,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,40000,40000
714490308,Existing Customer,57,M,4,Graduate,Married,Blue,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,80000,80000
713356833,Existing Customer,52,M,1,Graduate,Married,Blue,43,3,1,4,3710.0,2517,1193.0,1.541,1578,34,0.7,0.678,80000,80000
711402333,Existing Customer,47,M,2,Doctorate,Single,Blue,37,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.246,0,40000
708296883,Existing Customer,44,F,3,Graduate,Single,Blue,38,3,1,0,11749.0,788,10961.0,0.688,1178,27,0.929,0.067,40000,40000
719154483,Existing Customer,53,M,2,High School,Divorced,Blue,36,5,3,2,7753.0,2100,5653.0,0.839,991,26,0.733,0.271,60000,60000
717721458,Existing Customer,45,M,4,College,Divorced,Blue,40,5,1,0,10408.0,1186,9222.0,1.689,2560,42,1.211,0.114,60000,60000
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Blue,27,4,2,2,6205.0,2517,3688.0,0.939,1204,19,0.727,0.406,0,40000
789322833,Attrited Customer,48,F,5,High School,Married,Blue,38,1,3,3,8025.0,0,8025.0,0.654,673,18,0.8,0.0,0,40000
709919283,Existing Customer,54,M,4,Graduate,Married,Blue,34,2,3,2,14926.0,2517,12409.0,1.996,1576,25,1.5,0.169,80000,80000
718744008,Existing Customer,59,F,1,Graduate,Single,Blue,36,3,2,3,6335.0,1128,5207.0,0.397,1217,20,0.667,0.178,0,40000
767712558,Attrited Customer,59,M,1,College,Single,Blue,53,2,3,3,14979.0,0,14979.0,0.71,530,10,1.0,0.0,60000,60000
712950783,Attrited Customer,48,F,4,Uneducated,Married,Blue,38,3,2,3,2732.0,0,2732.0,0.76,739,16,0.455,0.0,0,40000
716104983,Existing Customer,41,F,2,Graduate,Single,Blue,32,6,3,2,2250.0,2117,133.0,1.162,1617,31,2.875,0.941,0,40000
712350858,Existing Customer,41,M,2,High School,Married,Blue,24,4,1,3,9366.0,1104,8262.0,0.572,1303,39,0.625,0.118,80000,80000
711009708,Existing Customer,40,M,3,High School,Single,Blue,28,5,1,0,21617.0,0,21617.0,1.047,1351,22,0.467,0.0,80000,80000
712215258,Existing Customer,50,F,1,Graduate,Single,Silver,31,2,2,3,18386.0,0,18386.0,0.868,1298,22,0.571,0.0,40000,40000
773827008,Existing Customer,47,M,4,Uneducated,Single,Blue,41,6,2,2,2405.0,1540,865.0,0.469,1087,29,1.231,0.64,60000,60000
795232683,Existing Customer,53,F,1,College,Married,Blue,47,4,2,3,2154.0,930,1224.0,2.121,1439,26,1.364,0.432,0,40000
713786508,Existing Customer,42,F,5,Unknown,Married,Blue,36,3,3,3,2038.0,0,2038.0,0.786,1238,28,0.75,0.0,40000,40000
713539833,Existing Customer,48,F,4,High School,Single,Blue,38,6,1,3,8135.0,0,8135.0,1.373,1716,29,0.812,0.0,40000,40000
718803333,Existing Customer,43,F,4,Graduate,Divorced,Blue,34,2,3,1,3195.0,1954,1241.0,0.971,1285,29,0.706,0.612,0,40000
720253908,Existing Customer,56,M,0,High School,Married,Blue,43,5,2,1,2852.0,1024,1828.0,1.009,1651,28,1.0,0.359,80000,80000
713187033,Existing Customer,46,M,1,Uneducated,Married,Blue,36,3,2,2,20459.0,2071,18388.0,1.248,1767,38,2.167,0.101,60000,60000
714791208,Existing Customer,47,F,4,Unknown,Divorced,Blue,41,6,5,3,3482.0,2114,1368.0,0.508,1039,24,0.263,0.607,0,40000
772426383,Existing Customer,50,F,4,Uneducated,Married,Blue,40,5,2,3,3065.0,1570,1495.0,1.077,1130,28,1.333,0.512,40000,40000
710975883,Existing Customer,51,F,3,Uneducated,Married,Blue,43,3,1,2,2185.0,1761,424.0,0.682,1645,30,0.429,0.806,0,40000
714264408,Existing Customer,47,F,3,Uneducated,Married,Blue,36,4,1,0,1611.0,746,865.0,0.993,1413,29,0.706,0.463,0,40000
715827858,Existing Customer,58,F,4,Uneducated,Married,Blue,47,3,3,3,2822.0,2173,649.0,1.456,1218,23,2.286,0.77,0,40000
713741358,Attrited Customer,46,M,5,Graduate,Single,Blue,33,6,3,3,32975.0,2517,30458.0,0.658,597,17,0.7,0.076,80000,80000
709531908,Existing Customer,53,M,3,High School,Married,Blue,47,5,2,2,1438.3,0,1438.3,0.776,2184,53,0.828,0.0,60000,60000
714141108,Existing Customer,52,F,1,High School,Married,Blue,45,6,3,3,6703.0,893,5810.0,0.567,1388,28,0.75,0.133,0,40000
708953883,Attrited Customer,53,M,2,Unknown,Married,Blue,36,2,2,1,3212.0,0,3212.0,0.713,757,20,0.25,0.0,80000,80000
712608783,Existing Customer,50,M,2,High School,Married,Silver,45,3,1,3,34516.0,1260,33256.0,0.588,1504,34,0.789,0.037,80000,80000
820353558,Existing Customer,41,F,3,High School,Married,Blue,36,4,1,2,9797.0,1434,8363.0,0.644,1503,34,0.478,0.146,40000,40000
714964758,Existing Customer,45,F,5,Graduate,Divorced,Blue,36,5,2,2,10400.0,1777,8623.0,0.791,1105,28,0.867,0.171,40000,40000
716264358,Existing Customer,53,M,3,Uneducated,Married,Blue,42,2,1,2,26792.0,1836,24956.0,1.432,2398,47,0.88,0.069,80000,80000
717296808,Existing Customer,67,F,1,Graduate,Married,Blue,56,4,3,2,3006.0,2517,489.0,2.053,1661,32,1.0,0.837,0,40000
712977183,Existing Customer,57,F,2,Uneducated,Single,Silver,36,6,3,0,19482.0,1072,18410.0,0.706,1421,22,1.444,0.055,40000,40000
710829108,Existing Customer,59,F,1,Uneducated,Married,Blue,36,4,2,3,3356.0,985,2371.0,0.35,999,28,0.556,0.294,40000,40000
779562633,Existing Customer,45,M,2,Uneducated,Married,Blue,34,3,2,1,5771.0,2248,3523.0,1.791,1387,18,0.8,0.39,40000,40000
715315833,Existing Customer,51,M,3,Graduate,Married,Blue,36,6,2,3,11106.0,2107,8999.0,0.948,1243,24,1.0,0.19,80000,80000
815500983,Existing Customer,59,F,1,Uneducated,Married,Blue,54,5,3,0,2890.0,2001,889.0,1.334,1860,36,1.0,0.692,0,40000
719360583,Existing Customer,53,M,1,Graduate,Married,Blue,45,6,2,2,3380.0,1701,1679.0,0.747,1502,25,1.273,0.503,60000,60000
709701558,Existing Customer,47,M,3,Graduate,Married,Blue,36,2,1,2,21331.0,1251,20080.0,0.949,1460,50,1.083,0.059,60000,60000
779862408,Existing Customer,49,M,3,Post-Graduate,Single,Blue,33,3,1,0,6278.0,462,5816.0,1.161,1087,33,0.941,0.074,80000,80000
812627208,Existing Customer,60,F,0,College,Single,Blue,55,5,1,3,1438.3,738,700.3,0.782,1226,33,0.571,0.513,0,40000
711033408,Existing Customer,50,F,2,High School,Married,Blue,36,5,1,2,9355.0,1626,7729.0,0.701,1230,28,0.867,0.174,0,40000
780376683,Existing Customer,57,M,1,Graduate,Married,Blue,47,5,3,1,14612.0,1976,12636.0,1.768,1827,24,3.0,0.135,80000,80000
714454758,Existing Customer,57,F,3,Graduate,Married,Blue,47,4,2,3,6347.0,1594,4753.0,0.896,1771,37,0.762,0.251,0,40000
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Blue,44,5,1,1,3449.0,1598,1851.0,0.971,1679,42,0.556,0.463,0,40000
720476733,Existing Customer,47,F,3,High School,Married,Blue,34,2,1,2,6028.0,799,5229.0,0.819,1002,22,0.571,0.133,0,40000
712375758,Existing Customer,53,M,3,Uneducated,Married,Blue,43,3,3,1,16393.0,1423,14970.0,1.642,1461,42,0.75,0.087,80000,80000
708868233,Attrited Customer,68,M,0,High School,Married,Blue,52,1,3,2,1438.3,900,538.3,0.743,760,21,0.615,0.626,0,40000
718030083,Existing Customer,59,M,1,College,Married,Blue,36,4,1,2,7871.0,1687,6184.0,1.242,1428,22,1.444,0.214,60000,60000
720707283,Existing Customer,48,M,4,Unknown,Married,Blue,36,5,3,0,5288.0,866,4422.0,0.869,1777,42,0.75,0.164,80000,80000
771698658,Existing Customer,44,M,5,Graduate,Married,Blue,32,4,5,3,11376.0,2006,9370.0,0.619,1302,27,0.8,0.176,60000,60000
748326258,Existing Customer,48,M,3,College,Married,Blue,41,4,5,3,12302.0,1632,10670.0,1.509,1483,41,0.519,0.133,80000,80000
770817783,Existing Customer,47,M,4,Graduate,Married,Silver,33,3,2,1,34516.0,1679,32837.0,0.623,1060,27,0.5,0.049,60000,60000
779353083,Existing Customer,47,M,2,Graduate,Married,Silver,32,4,2,2,34516.0,1468,33048.0,0.505,1330,32,0.684,0.043,60000,60000
711441333,Existing Customer,43,F,1,High School,Divorced,Silver,35,3,2,2,10514.0,1580,8934.0,0.504,1229,27,0.8,0.15,0,40000
719808558,Attrited Customer,55,F,2,Graduate,Married,Blue,43,2,4,3,1438.3,0,1438.3,0.707,886,27,0.421,0.0,0,40000
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,Blue,46,3,3,3,1438.3,0,1438.3,0.688,844,24,0.5,0.0,60000,60000
809164083,Existing Customer,63,M,1,Graduate,Married,Blue,56,2,1,2,2619.0,1779,840.0,1.259,1450,37,0.947,0.679,40000,40000
715999608,Existing Customer,53,F,2,High School,Married,Blue,36,4,1,2,2377.0,1649,728.0,0.93,1378,26,1.167,0.694,0,40000
709752183,Existing Customer,48,M,3,High School,Single,Blue,36,4,2,2,11432.0,2517,8915.0,0.615,1374,37,0.762,0.22,60000,60000
716479233,Existing Customer,43,M,4,High School,Married,Blue,36,5,3,2,13258.0,1721,11537.0,0.908,1080,21,1.333,0.13,40000,40000
713837058,Existing Customer,48,M,2,College,Single,Blue,36,3,2,3,2571.0,1955,616.0,0.531,1234,24,0.714,0.76,0,40000
718876683,Existing Customer,43,F,4,Graduate,Single,Blue,31,5,2,0,5781.0,1168,4613.0,0.638,1600,32,0.455,0.202,0,40000
770746908,Existing Customer,44,M,4,Unknown,Married,Blue,30,5,1,2,7872.0,2509,5363.0,0.971,1155,32,0.882,0.319,60000,60000
794843883,Existing Customer,41,M,3,High School,Married,Blue,35,6,1,2,34516.0,1202,33314.0,0.603,1353,33,0.737,0.035,80000,80000
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Silver,38,4,1,3,11127.0,1835,9292.0,2.368,1546,25,1.273,0.165,0,40000
758076408,Existing Customer,50,M,2,Unknown,Single,Blue,43,2,1,3,1857.0,1603,254.0,0.579,1590,43,1.263,0.863,40000,40000
714606558,Existing Customer,60,F,1,Uneducated,Married,Blue,36,5,1,0,1913.0,1272,641.0,1.008,1448,22,1.0,0.665,0,40000
778425408,Existing Customer,44,M,4,Graduate,Single,Blue,24,5,3,0,3839.0,2295,1544.0,0.569,1271,24,0.714,0.598,80000,80000
714171108,Existing Customer,48,F,3,Graduate,Divorced,Blue,39,6,2,3,2115.0,1141,974.0,0.616,1223,20,0.538,0.539,40000,40000
719662458,Existing Customer,44,F,2,Graduate,Divorced,Blue,27,5,2,2,1438.3,679,759.3,0.859,1117,29,1.071,0.472,0,40000
713137233,Existing Customer,41,M,2,High School,Single,Blue,28,4,3,0,27756.0,1789,25967.0,0.75,994,24,0.846,0.064,80000,80000
769425858,Existing Customer,45,M,3,College,Single,Blue,32,4,1,2,1438.3,0,1438.3,0.81,1468,26,0.625,0.0,60000,60000
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Silver,34,6,4,2,13878.0,2222,11656.0,0.853,1658,38,0.357,0.16,0,40000
788900883,Existing Customer,51,F,2,Graduate,Married,Blue,36,3,1,3,3106.0,1304,1802.0,0.604,1368,38,0.407,0.42,0,40000
772336458,Attrited Customer,60,F,1,Uneducated,Married,Blue,50,4,4,3,1438.3,1025,413.3,0.838,702,12,0.714,0.713,40000,40000
708711483,Existing Customer,57,M,2,Unknown,Married,Blue,46,2,3,0,18871.0,1740,17131.0,1.727,1516,21,2.0,0.092,80000,80000
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,Blue,36,6,2,2,17965.0,1644,16321.0,0.921,1767,50,0.923,0.092,80000,80000
769433508,Existing Customer,43,M,1,College,Single,Blue,37,6,3,3,2733.0,1819,914.0,0.767,933,25,0.923,0.666,60000,60000
790096533,Existing Customer,55,M,2,College,Married,Blue,48,4,3,2,8863.0,1301,7562.0,1.207,1512,27,1.455,0.147,60000,60000
720997383,Attrited Customer,52,M,1,Uneducated,Married,Blue,36,2,3,3,1857.0,1833,24.0,0.723,829,17,0.7,0.987,80000,80000
709930758,Existing Customer,41,M,2,Uneducated,Married,Blue,30,5,3,3,11107.0,1222,9885.0,0.538,1506,33,0.941,0.11,40000,40000
789830058,Existing Customer,44,M,4,Unknown,Single,Blue,34,4,1,2,21573.0,1585,19988.0,0.621,1384,36,2.273,0.073,80000,80000
710299608,Attrited Customer,53,F,2,Unknown,Married,Blue,33,2,3,3,2859.0,2517,342.0,0.993,817,30,0.667,0.88,0,40000
710741208,Existing Customer,39,M,2,High School,Single,Blue,36,4,2,2,5269.0,1475,3794.0,1.148,2094,25,0.667,0.28,80000,80000
821797008,Attrited Customer,49,M,5,College,Married,Blue,45,2,2,3,1438.3,0,1438.3,0.734,815,21,0.615,0.0,40000,40000
708874533,Attrited Customer,45,F,2,College,Married,Blue,36,1,3,2,3387.0,0,3387.0,0.789,510,24,0.6,0.0,0,40000
715341858,Existing Customer,54,M,2,Graduate,Married,Blue,46,6,2,3,1982.0,1289,693.0,0.939,1377,49,0.69,0.65,80000,80000
793636308,Existing Customer,49,M,3,Uneducated,Single,Blue,43,2,2,2,4645.0,1650,2995.0,0.912,1193,33,0.65,0.355,80000,80000
709703433,Existing Customer,47,M,3,Graduate,Married,Blue,38,4,1,2,21304.0,1532,19772.0,1.018,1770,25,0.923,0.072,60000,60000
